country,city,activity,season,trend_score,avg_daily_precipitation,avg_daily_temperature,avg_daily_daylight,avg_daily_wind_speed,season_duration
Turkey,İzmir,hiking,spring,0.465,1.2717391,18.211485,47979.6,16.965816,92
Turkey,İzmir,museum,spring,0.08,1.2717391,18.211485,47979.6,16.965816,92
Turkey,İzmir,beach,spring,0.1426923076923077,1.2717391,18.211485,47979.6,16.965816,92
Turkey,İzmir,hiking,summer,0.5359016393442623,0.30543476,31.07424,51998.836,19.566614,92
Turkey,İzmir,museum,summer,0.06568627450980392,0.30543476,31.07424,51998.836,19.566614,92
Turkey,İzmir,beach,summer,0.13728395061728396,0.30543476,31.07424,51998.836,19.566614,92
Turkey,Antalya,hiking,spring,0.465,0.84347826,18.305737,47768.207,16.579082,92
Turkey,Antalya,museum,spring,0.08,0.84347826,18.305737,47768.207,16.579082,92
Turkey,Antalya,beach,spring,0.1426923076923077,0.84347826,18.305737,47768.207,16.579082,92
Turkey,Antalya,hiking,summer,0.5359016393442623,0.68260866,30.61113,51570.543,17.630426,92
Turkey,Antalya,museum,summer,0.06568627450980392,0.68260866,30.61113,51570.543,17.630426,92
Turkey,Antalya,beach,summer,0.13728395061728396,0.68260866,30.61113,51570.543,17.630426,92
Australia,New South Wales,hiking,spring,0.62625,1.5576087,19.817427,46339.69,19.783184,92
Australia,New South Wales,museum,spring,0.74375,1.5576087,19.817427,46339.69,19.783184,92
Australia,New South Wales,beach,spring,0.605,1.5576087,19.817427,46339.69,19.783184,92
Australia,Victoria,hiking,spring,0.62625,1.7869567,15.782433,46892.85,23.12361,92
Australia,Victoria,museum,spring,0.74375,1.7869567,15.782433,46892.85,23.12361,92
Australia,Victoria,beach,spring,0.605,1.7869567,15.782433,46892.85,23.12361,92
Australia,Queensland,hiking,spring,0.62625,0.37826085,28.06061,45376.176,25.452957,92
Australia,Queensland,museum,spring,0.74375,0.37826085,28.06061,45376.176,25.452957,92
Australia,Queensland,beach,spring,0.605,0.37826085,28.06061,45376.176,25.452957,92
Australia,Western Australia,hiking,spring,0.62625,1.5358697,24.37089,45656.49,23.16182,92
Australia,Western Australia,museum,spring,0.74375,1.5358697,24.37089,45656.49,23.16182,92
Australia,Western Australia,beach,spring,0.605,1.5358697,24.37089,45656.49,23.16182,92
Brazil,Rio de Janeiro,hiking,dry,0.638095238095238,1.1124183,23.161802,40589.95,16.038433,153
Brazil,Rio de Janeiro,museum,dry,0.5103846153846154,1.1124183,23.161802,40589.95,16.038433,153
Brazil,Rio de Janeiro,beach,dry,0.355925925925926,1.1124183,23.161802,40589.95,16.038433,153
Brazil,Rio de Janeiro,hiking,wet,0.6175999999999999,2.926415,26.138239,46135.605,15.925294,212
Brazil,Rio de Janeiro,beach,wet,0.45444444444444443,2.926415,26.138239,46135.605,15.925294,212
Brazil,São Paulo,hiking,dry,0.638095238095238,1.0261438,18.65152,40476.184,19.680862,153
Brazil,São Paulo,museum,dry,0.5103846153846154,1.0261438,18.65152,40476.184,19.680862,153
Brazil,São Paulo,beach,dry,0.355925925925926,1.0261438,18.65152,40476.184,19.680862,153
Brazil,São Paulo,hiking,wet,0.6175999999999999,5.7363214,22.09139,46217.277,15.283028,212
Brazil,São Paulo,beach,wet,0.45444444444444443,5.7363214,22.09139,46217.277,15.283028,212
Brazil,Bahia,hiking,dry,0.638095238095238,0.25947714,20.27559,42192.39,19.470873,153
Brazil,Bahia,museum,dry,0.5103846153846154,0.25947714,20.27559,42192.39,19.470873,153
Brazil,Bahia,beach,dry,0.355925925925926,0.25947714,20.27559,42192.39,19.470873,153
Brazil,Bahia,hiking,wet,0.6175999999999999,2.0146227,23.037607,45000.555,17.691055,212
Brazil,Bahia,museum,wet,0.4537037037037037,2.0146227,23.037607,45000.555,17.691055,212
Brazil,Bahia,beach,wet,0.45444444444444443,2.0146227,23.037607,45000.555,17.691055,212
Brazil,Minas Gerais,hiking,dry,0.638095238095238,0.006535948,22.846968,41270.91,12.54595,153
Brazil,Minas Gerais,museum,dry,0.5103846153846154,0.006535948,22.846968,41270.91,12.54595,153
Brazil,Minas Gerais,beach,dry,0.355925925925926,0.006535948,22.846968,41270.91,12.54595,153
Brazil,Minas Gerais,hiking,wet,0.6175999999999999,4.7212267,24.965902,45649.703,12.985612,212
Brazil,Minas Gerais,museum,wet,0.4537037037037037,4.7212267,24.965902,45649.703,12.985612,212
Brazil,Minas Gerais,beach,wet,0.45444444444444443,4.7212267,24.965902,45649.703,12.985612,212
